character	comicbook
DEADPOOL/JACK/WADE WILSON 	DPOOL3 38
DEADPOOL/JACK/WADE WILSON 	DPOOL3 39
DEADPOOL/JACK/WADE WILSON 	DPOOL3 42
DEADPOOL/JACK/WADE WILSON 	DPOOL3 40
DEADPOOL/JACK/WADE WILSON 	DPOOL3 41
DEADPOOL/JACK/WADE WILSON 	DPOOL3 43
DEADPOOL/JACK/WADE WILSON 	DPOOL3 44
DEADPOOL/JACK/WADE WILSON 	BP3 23
DEADPOOL/JACK/WADE WILSON 	DPOOL3 45
DEADPOOL/JACK/WADE WILSON 	GAM3 17
DEADPOOL/JACK/WADE WILSON 	W2 154
DEADPOOL/JACK/WADE WILSON 	W2 155
DEADPOOL/JACK/WADE WILSON 	DPOOL3 46
DEADPOOL/JACK/WADE WILSON 	DPOOL3 47
DEADPOOL/JACK/WADE WILSON 	DPOOL3 48
DEADPOOL/JACK/WADE WILSON 	DPOOL3 49
DEAN, BETTY	INV 29
DEAN, BETTY	INV 4
DEAN, DARBY	AF 97
DEAN, DARBY	AF 98
DEAN, DARBY	AF 109/2
DEAN, SUSAN	AF 97
DEAN, SUSAN	AF 98
DEAN, SUSAN	AF 109/2
DEANGELO, DEVLIN	H2 469
DEANGELO, DEVLIN	H2 472
DEANGELO, DEVLIN	H2 473
DEANGELO, DEVLIN	H2 474
DEATH	CM 27
DEATH	KS
DEATH	CX 43/2
DEATH	M/GN 1
DEATH	COC 3
DEATH	FF 257
DEATH	SWII 7
DEATH	PPTSS 111
DEATH	PP 20
DEATH	NM 41
DEATH	WCA@ 2
DEATH	A@ 16
DEATH	SOLOA 5/2
DEATH	SS3 10
DEATH	SS3 17
DEATH	SS3 34
DEATH	SS3 38
DEATH	TQ 1
DEATH	TQ 2
DEATH	S-M 17
DEATH	IG 1
DEATH	Q 25
DEATH	IG 2
DEATH	IG 3
DEATH	IG 4
DEATH	IG 5
DEATH	IG 6
DEATH	DAMCON3 4
DEATH	IW 2
DEATH	M/CP 108/4
DEATH	M/CP 109/4
DEATH	M/CP 110/4
DEATH	M/CP 111/4
DEATH	DRSTR3 45
DEATH	CM5 17
DEATH	CPU 1
DEATH	DPOOL3 33
DEATH	DPOOL3 34
DEATH	DPOOL3 35
DEATH	DPOOL3 36
DEATH	DPOOL3 37
DEATH	CM5 18
DEATH ADDER	M/TIO 64
DEATH ADDER	M/TIO 65
DEATH ADDER	IM 160
DEATH ADDER	CA 307
DEATH ADDER	CA 308
DEATH ADDER	CA 309
DEATH ADDER	CA 310
DEATH ADDER	CA 311
DEATH ADDER	CA 313
DEATH ADDER	CA 315
DEATH ADDER	CA 318
DEATH ADDER	CA 319
DEATH ADDER	A@ 16
DEATH STING/MIRANDA RAND	IF3 1
DEATH STING/MIRANDA RAND	IF3 2
DEATH STING/MIRANDA RAND	IF3 3
DEATH'S HEAD	NF3 1
DEATH'S HEAD	NF3 2
DEATH'S HEAD	NF3 3
DEATH'S HEAD	NF3 4
DEATH'S HEAD	NF3 5
DEATH'S HEAD	NF3 6
DEATH-STALKER	DD 39
DEATH-STALKER	DD 41
DEATH-STALKER	DD 113
DEATH-STALKER	DD 114
DEATH-STALKER	DD 115
DEATH-STALKER	DD 128
DEATH-STALKER	GR2 18
DEATH-STALKER	GR2 19
DEATH-STALKER	DD 138
DEATH-STALKER	DD 148
DEATH-STALKER	DD 152
DEATH-STALKER	DRSTR2 29
DEATH-STALKER	DD 155
DEATH-STALKER	DD 156
DEATH-STALKER	DD 157
DEATHBIRD [SHI'AR]	MSM 9
DEATHBIRD [SHI'AR]	MSM 10
DEATHBIRD [SHI'AR]	MSM 22
DEATHBIRD [SHI'AR]	A 189
DEATHBIRD [SHI'AR]	UX 155
DEATHBIRD [SHI'AR]	UX 156
DEATHBIRD [SHI'AR]	UX 157
DEATHBIRD [SHI'AR]	UX 161
DEATHBIRD [SHI'AR]	UX 162
DEATHBIRD [SHI'AR]	ROM@ 4
DEATHBIRD [SHI'AR]	XSOS 1
DEATHBIRD [SHI'AR]	XSOS 2
DEATHBIRD [SHI'AR]	UX 274
DEATHBIRD [SHI'AR]	UX 275
DEATHBIRD [SHI'AR]	UX 276
DEATHBIRD [SHI'AR]	UX 277
DEATHBIRD [SHI'AR]	A 345
DEATHBIRD [SHI'AR]	A 346
DEATHBIRD [SHI'AR]	IM 279
DEATHBIRD [SHI'AR]	A 347
DEATHBIRD [SHI'AR]	Q 35
DEATHBIRD [SHI'AR]	XU 5
DEATHBIRD [SHI'AR]	UX 342
DEATHBIRD [SHI'AR]	UX 343
DEATHBIRD [SHI'AR]	UX 344
DEATHBIRD [SHI'AR]	UX 345
DEATHBIRD [SHI'AR]	UX 348
DEATHBIRD [SHI'AR]	UX 353
DEATHBIRD [SHI'AR]	UX 354
DEATHBIRD [SHI'AR]	UX 357
DEATHBIRD [SHI'AR]	UX 358
DEATHBIRD [SHI'AR]	TX2K 1
DEATHBIRD [SHI'AR]	UX 372
DEATHBIRD [SHI'AR]	X 92
DEATHBIRD [SHI'AR]	UX 373
DEATHBIRD [SHI'AR]	UX 374
DEATHBIRD [SHI'AR]	C2 74
DEATHBIRD [SHI'AR]	X 96
DEATHBIRD [SHI'AR]	UX 377
DEATHBIRD [SHI'AR]	X 97
DEATHBIRD [SHI'AR]	BSHP2 15
DEATHCHARGE	NAMOR@ 4/2
DEATHCRY [SHI'AR]	A 378
DEATHCRY [SHI'AR]	A 379
DEATHCRY [SHI'AR]	A 383
DEATHCRY [SHI'AR]	V 1
DEATHCRY [SHI'AR]	V 2
DEATHCRY [SHI'AR]	V 3
DEATHCRY [SHI'AR]	V 4
DEATHCRY [SHI'AR]	A 384
DEATHCRY [SHI'AR]	A 385
DEATHCRY [SHI'AR]	A 386
DEATHCRY [SHI'AR]	A 389
DEATHCRY [SHI'AR]	A 390
DEATHCRY [SHI'AR]	AUP 2
DEATHCRY [SHI'AR]	CA 444
DEATHCRY [SHI'AR]	H2 434
DEATHCRY [SHI'AR]	A:C
DEATHCRY [SHI'AR]	A 391
DEATHCRY [SHI'AR]	A 392
DEATHCRY [SHI'AR]	IM 323
DEATHCRY [SHI'AR]	AOI
DEATHCRY [SHI'AR]	IM 326
DEATHCRY [SHI'AR]	A 396
DEATHCRY [SHI'AR]	AUP 4
DEATHCRY [SHI'AR]	AUP 5
DEATHCRY [SHI'AR]	A 398
DEATHCRY [SHI'AR]	A 399
DEATHLOK/COLONEL LUTHER MANNING	AT 25
DEATHLOK/COLONEL LUTHER MANNING	AT 26
DEATHLOK/COLONEL LUTHER MANNING	AT 27
DEATHLOK/COLONEL LUTHER MANNING	AT 28
DEATHLOK/COLONEL LUTHER MANNING	AT 30
DEATHLOK/COLONEL LUTHER MANNING	AT 31
DEATHLOK/COLONEL LUTHER MANNING	AT 32
DEATHLOK/COLONEL LUTHER MANNING	AT 33
DEATHLOK/COLONEL LUTHER MANNING	AT 34
DEATHLOK/COLONEL LUTHER MANNING	AT 35
DEATHLOK/COLONEL LUTHER MANNING	AT 36
DEATHLOK/COLONEL LUTHER MANNING	M/TU 46
DEATHLOK/COLONEL LUTHER MANNING	M/SPT 33
DEATHLOK/COLONEL LUTHER MANNING	M/TIO 26
DEATHLOK/COLONEL LUTHER MANNING	M/TIO 27
DEATHLOK/COLONEL LUTHER MANNING	M/TIO 28
DEATHLOK/COLONEL LUTHER MANNING	M/TIO 34
DEATHLOK/COLONEL LUTHER MANNING	M/TIO 53
DEATHLOK/COLONEL LUTHER MANNING	M/TIO 54
DEATHLOK/COLONEL LUTHER MANNING	CA 286
DEATHLOK/COLONEL LUTHER MANNING	CA 287
DEATHLOK/COLONEL LUTHER MANNING	CA 288
DEATHLOK/COLONEL LUTHER MANNING	M/FAN 4/2
DEATHLOK/COLONEL LUTHER MANNING	M/CP 62/4
DEATHLOK/COLONEL LUTHER MANNING	DLOK 1
DEATHLOK II/COL. JOHN KELLY	DLOK2 17
DEATHLOK II/COL. JOHN KELLY	DLOK2 14
DEATHLOK II/COL. JOHN KELLY	M/CP 62/4
DEATHLOK II/COL. JOHN KELLY	DLOK2 18
DEATHLOK III/MICHAEL COLLINS	DLOK2 1
DEATHLOK III/MICHAEL COLLINS	DLOK 1
DEATHLOK III/MICHAEL COLLINS	DLOK 2
DEATHLOK III/MICHAEL COLLINS	DLOK 3
DEATHLOK III/MICHAEL COLLINS	DLOK 4
DEATHLOK III/MICHAEL COLLINS	Q 27
DEATHLOK III/MICHAEL COLLINS	SLEEP 7
DEATHLOK III/MICHAEL COLLINS	DAMCON3 4
DEATHLOK III/MICHAEL COLLINS	NF3 30
DEATHLOK III/MICHAEL COLLINS	NF3 31
DEATHLOK III/MICHAEL COLLINS	DLOK2 2
DEATHLOK III/MICHAEL COLLINS	DLOK2 3
DEATHLOK III/MICHAEL COLLINS	DLOK2 4
DEATHLOK III/MICHAEL COLLINS	DLOK2 5
DEATHLOK III/MICHAEL COLLINS	DLOK2 6
DEATHLOK III/MICHAEL COLLINS	DLOK2 7
DEATHLOK III/MICHAEL COLLINS	S-M 20
DEATHLOK III/MICHAEL COLLINS	S-M 21
DEATHLOK III/MICHAEL COLLINS	S-M 22
DEATHLOK III/MICHAEL COLLINS	S-M 23
DEATHLOK III/MICHAEL COLLINS	SLEEP 8
DEATHLOK III/MICHAEL COLLINS	DLOK2 8
DEATHLOK III/MICHAEL COLLINS	DD@ 8
DEATHLOK III/MICHAEL COLLINS	DLOK2 9
DEATHLOK III/MICHAEL COLLINS	DLOK2 10
DEATHLOK III/MICHAEL COLLINS	DLOK2 11
DEATHLOK III/MICHAEL COLLINS	DLOK2 12
DEATHLOK III/MICHAEL COLLINS	DLOK2 13
DEATHLOK III/MICHAEL COLLINS	DLOK2 14
DEATHLOK III/MICHAEL COLLINS	DLOK2 15
DEATHLOK III/MICHAEL COLLINS	DLOK@ 1
DEATHLOK III/MICHAEL COLLINS	DLOK@ 1/2
DEATHLOK III/MICHAEL COLLINS	DLOK2 16
DEATHLOK III/MICHAEL COLLINS	IW 5
DEATHLOK III/MICHAEL COLLINS	SSWP 6
DEATHLOK III/MICHAEL COLLINS	SSWP 7
DEATHLOK III/MICHAEL COLLINS	DLOK2 17
DEATHLOK III/MICHAEL COLLINS	DLOK2 18
DEATHLOK III/MICHAEL COLLINS	DD 335
DEATHLOK III/MICHAEL COLLINS	DD 336
DEATHLOK III/MICHAEL COLLINS	DD 337
DEATHLOK III DOPPELGANGER	DLOK2 16
DEATHLOK IV	UX 371
DEATHLOK IV	X 91
DEATHLOK IV	X '99
DEATHLOK | MUTANT X-VERSE	MX 30
DEATHLOK | MUTANT X-VERSE	MX 31
DEATHSHIELD/	ASM 367
DEATHSTROKE/	CA 395
DEATHTOLL	WARM 5
DEATHTOLL	WARM 6
DEATHUNT 9000	FF@ 25
DEATHUNT 9000	A@ 21
DEATHUNT 9000	AVF 3
DEATHURGE	M/TIO 72
DEATHURGE	A 248
DEATHURGE	A 249
DEATHURGE	Q 2
DEATHURGE	Q 21
DEATHURGE	Q 22
DEATHURGE	Q 23
DEATHURGE	Q 24
DEATHURGE	Q 25
DEATHURGE	Q 39
DEATHURGE	SS/RUNE
DEATHWATCH/STEPHAN LORDS	GR3 1
DEATHWATCH/STEPHAN LORDS	GR3 2
DEATHWATCH/STEPHAN LORDS	GR3 3
DEATHWATCH/STEPHAN LORDS	M/CP 70
DEATHWATCH/STEPHAN LORDS	M/CP 71
DEATHWATCH/STEPHAN LORDS	GR3 13
DEATHWATCH/STEPHAN LORDS	GR3 14
DEATHWATCH/STEPHAN LORDS	GR3 15
DEATHWATCH/STEPHAN LORDS	GR3 21
DEATHWATCH/STEPHAN LORDS	WOSM 85
DEATHWATCH/STEPHAN LORDS	GR3 22
DEATHWATCH/STEPHAN LORDS	GR3 23
DEATHWATCH/STEPHAN LORDS	GR3 24
DEATHWATCH/STEPHAN LORDS	SOV 4
DEATHWATCH/STEPHAN LORDS	SOV 5
DEATHWATCH/STEPHAN LORDS	SOV 6
DECAY/	QS 9
DECAY/	QS 11
DECAY/	QS 12
DECAY/	HFH '98
DECAY II/YOSHIRO HACHIMAN	IM3 22
DECAY II/YOSHIRO HACHIMAN	PPSM2 11
DECAY II/YOSHIRO HACHIMAN	J:ED
DECAY II/YOSHIRO HACHIMAN	A3 23
DECAY II/YOSHIRO HACHIMAN	A3 24
DECAY II/YOSHIRO HACHIMAN	A3 25
DECIBEL	NW2 7
DEFENSOR	COC 1
DEFENSOR	COC 2
DEFENSOR	COC 3
DEFENSOR	H2 279
DEGANN, KRIS	IM 326
DEIMOS	DRSTR3 39
DEKKER, GENERAL LYLE	CA 218
DEKKER, GENERAL LYLE	CA 219
DEKKER, GENERAL LYLE	CA 220
DEL HIERRO, BLANCA	FF3 35
DEL HIERRO, BLANCA	FF3 36
DELACORTE, ARTHUR	GENX 60
DELACORTE, ARTHUR	GENX 61
DELACORTE, ARTHUR	GENX 62
DELANY, CAPT.	UX 110
DELANY, CAPT.	NM 2
DELAZNY, CHARLES L.	GR2 22
DELAZNY, CHARLES L.	GR2 23
DELAZNY, CHARLES L.	GR2 24
DELAZNY, CHARLES L.	GR2 26
DELAZNY, DORIAN	AT 21
DELAZNY, DORIAN	AT 22
DELAZNY, DORIAN	AT 23
DELAZNY, DORIAN	AT 24
DELAZNY, DORIAN	H2 244
DELGADO	X 1
DELGADO	X 2
DELGADO	X 3
DELGADO, FATHER	C&D 1
DELGADO, FATHER	C&D 2
DELGADO, FATHER	C&D 3
DELGADO, FATHER	C&D 4
DELGADO, FATHER	M/TU@ 6
DELGADO, FATHER	C&D2 1
DELGADO, FATHER	C&D2 2
DELGADO, FATHER	C&D2 3
DELGADO, FATHER	C&D2 4
DELGADO, FATHER	D&D2 5
DELGADO, FATHER	C&D2 6
DELGADO, FATHER	C&D2 7
DELGADO, FATHER	C&D2 8
DELGADO, FATHER	C&D2 9
DELGADO, FATHER	M/GN 34
DELGADO, FATHER	ST2 13
DELGADO, FATHER	ST2 14
DELGADO, FATHER	ST2 15
DELGADO, FATHER	ST2 18
DELGADO, FATHER	C&D3 1
DELGADO, FATHER	C&D3 2
DELGADO, FATHER	C&D3 3
DELGADO, FATHER	C&D3 6
DELGADO, FATHER	C&D3 8
DELGADO, FATHER	C&D3 9
DELGADO, FATHER	C&D3 10
DELGADO, FATHER	C&D3 12
DELGADO, LUZ	GR3 8
DELGADO, RUFUS	X 101
DELGADO, RUFUS	X 106
DELILAH	ASM 414
DELILAH	ASM 416
DELILAH	ASM 417
DELILAH	ASM 419
DELILAH	ASM 420
DELILAH	ASM 421/2
DELILAH	ASM 422
DELILAH	ASM 423
DELILAH	ASM 424
DELILAH	ASM 425
DELILAH	ASM 426
DELILAH	ASM 427
DELILAH	ASM 428
DELILAH	ASM 434
DELILAH	ASM 435
DELPHI	H2 379
DELPHI	H2 381
DELPHI	H@ 18/3
DELPHI	H2 386
DELPHI	CA 398
DELPHI	CAGE 9
DELPHI	CAGE 10
DELPHI	H@ 18/2
DELPHI	SS@ 5
DELPHI	TTA3
DELPHI	H2 421
DELPHI	H2 423
DELPHI II	XFOR 94
DELPHIS, SIR	QS 9
DELPHIS, SIR	XCAL 113
DELPHIS, SIR	QS 1
DELPHIS, SIR	QS 2
DELPHIS, SIR	QS 3
DELPHIS, SIR	HFH '98
DELPHIS, SIR	HFH 17
DELPHOS	INH3 3
DELPHOS	INH3 4
DELUGE	X:HY 7
DELUGE	X:HY 6
DELUGE II	FW 6
DELUGE II	IM 312
DEMEITYR	SOLOA 18/2
DEMEITYR	SOLOA 20/2
DEMI-GOD	HFH 12
DEMITRIUS	IM 41
DEMOGOBLIN	WOSM 86
DEMOGOBLIN	WOSM 87
DEMOGOBLIN	S-M 24
DEMOGOBLIN	WOSM 93
DEMOGOBLIN	WOSM 94
DEMOGOBLIN	WOSM 95
DEMOGOBLIN	SOV 5
DEMOGOBLIN	WOSM 96
DEMOGOBLIN	SOV 6
DEMOGOBLIN	MK3 45
DEMOGOBLIN	MK3 46
DEMOGOBLIN	S-M 47
DEMOGOBLIN	S-M 48
DEMOLITION MAN/DENNIS DUNPHY	CA 328
DEMOLITION MAN/DENNIS DUNPHY	TG 28
DEMOLITION MAN/DENNIS DUNPHY	TG 29
DEMOLITION MAN/DENNIS DUNPHY	TG 33
DEMOLITION MAN/DENNIS DUNPHY	TG 34
DEMOLITION MAN/DENNIS DUNPHY	TG 35
DEMOLITION MAN/DENNIS DUNPHY	TG 36
DEMOLITION MAN/DENNIS DUNPHY	CA 329
DEMOLITION MAN/DENNIS DUNPHY	CA 330
DEMOLITION MAN/DENNIS DUNPHY	CA 331
DEMOLITION MAN/DENNIS DUNPHY	CA 332
DEMOLITION MAN/DENNIS DUNPHY	CA 336
DEMOLITION MAN/DENNIS DUNPHY	CA 337
DEMOLITION MAN/DENNIS DUNPHY	CA 338
DEMOLITION MAN/DENNIS DUNPHY	CA 339
DEMOLITION MAN/DENNIS DUNPHY	CA 340
DEMOLITION MAN/DENNIS DUNPHY	CA 342
DEMOLITION MAN/DENNIS DUNPHY	CA 343
DEMOLITION MAN/DENNIS DUNPHY	CA 344
DEMOLITION MAN/DENNIS DUNPHY	CA 345
DEMOLITION MAN/DENNIS DUNPHY	CA 346
DEMOLITION MAN/DENNIS DUNPHY	CA 349
DEMOLITION MAN/DENNIS DUNPHY	CA 384
DEMOLITION MAN/DENNIS DUNPHY	CA 400/2
DEMOLITION MAN/DENNIS DUNPHY	CA 401
DEMOLITION MAN/DENNIS DUNPHY	CA 402
DEMOLITION MAN/DENNIS DUNPHY	CA 403
DEMOLITION MAN/DENNIS DUNPHY	CA 404
DEMOLITION MAN/DENNIS DUNPHY	CA 405
DEMOLITION MAN/DENNIS DUNPHY	CA 408
DEMOLITION MAN/DENNIS DUNPHY	CA 409
DEMOLITION MAN/DENNIS DUNPHY	CA 410
DEMOLITION MAN/DENNIS DUNPHY	CA 440
DEMOLITION MAN/DENNIS DUNPHY	A3 1
DEMOLITION MAN/DENNIS DUNPHY	A3 2
DEMOLITION MAN/DENNIS DUNPHY	A3 3
DEMOLITION MAN/DENNIS DUNPHY	A3 4
DEMOLITION MAN DOPPELGANGER	CA 408
DEMOLITION MAN DOPPELGANGER	CA 409
DEMON BEAR	NM 18
DEMON BEAR	NM 19
DEMON BEAR	NM 20
DEMON BEAR	XFOR 99
DEMONICUS/DR. DOUGLAS BIRELY	AWC 72
DEMONICUS/DR. DOUGLAS BIRELY	ST 143/2
DEMONICUS/DR. DOUGLAS BIRELY	GZILL 4
DEMONICUS/DR. DOUGLAS BIRELY	GZILL 5
DEMONICUS/DR. DOUGLAS BIRELY	SHOWAR 12
DEMONICUS/DR. DOUGLAS BIRELY	SHOWAR 13
DEMONICUS/DR. DOUGLAS BIRELY	SHOWAR 14
DEMONICUS/DR. DOUGLAS BIRELY	DRSTR2 56
DEMONICUS/DR. DOUGLAS BIRELY	IM 193
DEMONICUS/DR. DOUGLAS BIRELY	IM 196
DEMONICUS/DR. DOUGLAS BIRELY	AWC 70
DEMONICUS/DR. DOUGLAS BIRELY	AWC 71
DEMONICUS/DR. DOUGLAS BIRELY	AWC 73
DEMONICUS/DR. DOUGLAS BIRELY	AWC 74
DEMONSTAFF	T 440
DENAK	DRSTR3 49
DENNAGER, MICHAEL	SENSM 29
DENNEHY, ROBERT	DD 339
DENNIS, MARTY	TS 9
DENNIS, MARTY	TS 10
DENNIS, MARTY	ASMU 6
DEPALMA, MR.	IM3 42
DEPAUL, SHIELD SPECIAL AGENT	TS 13
DEPAUL, SHIELD SPECIAL AGENT	TS 14
DESADIA	MU 11
DESADIA	HOH 2
DESADIA	M/CP 106/4
DESAK/DESAK STERIXIAN	T '01
DESIGNATE/TARENE	T2 24
DESIGNATE/TARENE	T2 25
DESIGNATE/TARENE	T2 33
DESIGNATE/TARENE	T2 34
DESIGNATE/TARENE	T2 35
DESIGNATE/TARENE	T2 36
DESIGNATE/TARENE	T2 37
DESIGNATE/TARENE	T2 38
DESIGNATE/TARENE	T2 39
DESOLATION/	UX 382
DESTINE, ADAM	X&CD 1
DESTINE, ADAM	X&CD 2
DESTINE, NEWTON	X&CD 1
DESTINE, NEWTON	X&CD 2
DESTINY/PAUL DESTINE	IM&SM 1/2
DESTINY/PAUL DESTINE	SUB-M 1
DESTINY/PAUL DESTINE	SUB-M 6
DESTINY/PAUL DESTINE	SUB-M 7
DESTINY II/IRENE ADLER	XFOR -1
DESTINY II/IRENE ADLER	XMF 4
DESTINY II/IRENE ADLER	XMF 3
DESTINY II/IRENE ADLER	M/SH3 11/3
DESTINY II/IRENE ADLER	UX 141
DESTINY II/IRENE ADLER	UX 142
DESTINY II/IRENE ADLER	XMF 2
DESTINY II/IRENE ADLER	A@ 10
DESTINY II/IRENE ADLER	ROM 31
DESTINY II/IRENE ADLER	ROM 32
DESTINY II/IRENE ADLER	DAZZ 22
DESTINY II/IRENE ADLER	DAZZ 23
DESTINY II/IRENE ADLER	DAZZ 28
DESTINY II/IRENE ADLER	UX 170
DESTINY II/IRENE ADLER	UX 177
DESTINY II/IRENE ADLER	UX 178
DESTINY II/IRENE ADLER	UX 185
DESTINY II/IRENE ADLER	M/FAN 40/2
DESTINY II/IRENE ADLER	UX 199
DESTINY II/IRENE ADLER	AWC 84
DESTINY II/IRENE ADLER	XF 8
DESTINY II/IRENE ADLER	XF 9
DESTINY II/IRENE ADLER	XF 10
DESTINY II/IRENE ADLER	A@ 15
DESTINY II/IRENE ADLER	WCA@ 1
DESTINY II/IRENE ADLER	CA 333
DESTINY II/IRENE ADLER	CA 334
DESTINY II/IRENE ADLER	XF@ 6/3
DESTINY II/IRENE ADLER	UX 223
DESTINY II/IRENE ADLER	UX 224
DESTINY II/IRENE ADLER	UX 225
DESTINY II/IRENE ADLER	UX 226
DESTINY II/IRENE ADLER	UX 227
DESTINY II/IRENE ADLER	NM 65
DESTINY II/IRENE ADLER	XF 30
DESTINY II/IRENE ADLER	XF 31
DESTINY II/IRENE ADLER	CA 346
DESTINY II/IRENE ADLER	XF 33
DESTINY II/IRENE ADLER	NM 78
DESTINY II/IRENE ADLER	UX 254
DESTINY II/IRENE ADLER	UX 255
DESTINY II/IRENE ADLER	FF3 16
DESTRAK	PP:PP 1
DESTRAK	PP:PP 2
DESTRAK	PP:PP 3
DESTRAK	PP:PP 4
DESTROYER III	ST 101
DESTROYER III	DESTROYER IV
DESTROYER III	JIM 118
DESTROYER III	JIM 119
DESTROYER III	T@ 2
DESTROYER III	T 150
DESTROYER III	T 151
DESTROYER III	T 152
DESTROYER III	T 224
DESTROYER III	T 225
DESTROYER III	T 228
DESTROYER III	FF 174
DESTROYER III	FF 172
DESTROYER III	FF 173
DESTROYER III	T 264
DESTROYER III	T 265
DESTROYER III	T 266
DESTROYER III	T 288
DESTROYER III	T 289
DESTROYER III	T 300
DESTROYER III	T 381
DESTROYER III	T 382
DESTROYER III	T 438/2
DESTROYER III	T 437/2
DESTROYER III	T 439/2
DESTROYER III	T 440/2
DESTROYER III	T 441/2
DESTROYER III	T 476
DESTROYER III	T 477
DESTROYER III	H2 461
DESTROYER III	T2 1
DESTROYER III	T2 2
DESTROYER III	T2 11
DESTROYER III	T2 12
DESTROYER III	T2 13
DESTROYER III	T2 36
DESTROYER III	T2 37
DESTROYER III	T2 38
DESTRUCTOR/PROFESSOR KERWIN KORMAN	MSM 1
DESTRUCTOR/PROFESSOR KERWIN KORMAN	MSM 2
DESTRUCTOR/PROFESSOR KERWIN KORMAN	MSM 3
DESTRUCTOR/PROFESSOR KERWIN KORMAN	MSM 4
DESTRUCTOR/PROFESSOR KERWIN KORMAN	A3 17
DEUCE	DD 362
DEUCE	DD 363
DEUCE	DD 364
DEUCE	DD 366
DEUCE	DD '97
DEUCE	DPOOL3 10
DEUCE	DPOOL3 12
DEUCE	DPOOL3 13
DEUCE	DPOOL3 14
DEUTSCH, GEN.	C2 91
DEUTSCH, GEN.	C2 92
DEUTSCH, GEN.	C2 95
DEVASTATOR/KIROV PETROVNA	H2 186
DEVASTATOR II/GREGORI	ROM 44
DEVASTATOR II/GREGORI	ROM 45
DEVASTATOR II/GREGORI	IM 255
DEVERAUX, INSPECTOR MAGRITE	GENX 10
DEVERAUX, INSPECTOR MAGRITE	GENX 11
DEVEREAUX, IRIS	NEW ETERNALS
DEVEREAUX, MICHELLE	M:DS 1
DEVEREAUX, MICHELLE	M:DS 2
DEVIL DINOSAUR	DDINO 1
DEVIL DINOSAUR	DDINO 2
DEVIL DINOSAUR	DDINO 3
DEVIL DINOSAUR	DDINO 4
DEVIL DINOSAUR	DDINO 5
DEVIL DINOSAUR	DDINO 6
DEVIL DINOSAUR	DDINO 7
DEVIL DINOSAUR	DDINO 8
DEVIL DINOSAUR	DDINO 9
DEVIL DINOSAUR	DDINO2 1
DEVIL DINOSAUR	DDINO2 1/2
DEVIL DINOSAUR	DDINO2 1/3
DEVIL DINOSAUR	GZILL 21
DEVIL DINOSAUR	GZILL 22
DEVIL DINOSAUR	FA 4
DEVIL DINOSAUR	FA 5
DEVIL DINOSAUR	FA 6
DEVIL DINOSAUR	FA 7
DEVIL DINOSAUR	FA 8
DEVIL DINOSAUR	ASM '98
DEVIL DINOSAUR | MUTANT X-VERSE	MX '01
DEVIL-SLAYER/ERIC SIMON PAYNE	M-T3 4
DEVIL-SLAYER/ERIC SIMON PAYNE	M/SPT 33
DEVIL-SLAYER/ERIC SIMON PAYNE	DEF 58
DEVIL-SLAYER/ERIC SIMON PAYNE	DEF 59
DEVIL-SLAYER/ERIC SIMON PAYNE	DEF 60
DEVIL-SLAYER/ERIC SIMON PAYNE	DEF 97
DEVIL-SLAYER/ERIC SIMON PAYNE	DEF 98
DEVIL-SLAYER/ERIC SIMON PAYNE	DEF 99
DEVIL-SLAYER/ERIC SIMON PAYNE	DEF 100
DEVIL-SLAYER/ERIC SIMON PAYNE	DEF 101
DEVIL-SLAYER/ERIC SIMON PAYNE	M/TU 111
DEVIL-SLAYER/ERIC SIMON PAYNE	SS3 14
DEVIL-SLAYER/ERIC SIMON PAYNE	M/GN 1
DEVIL-SLAYER/ERIC SIMON PAYNE	DEF 103
DEVIL-SLAYER/ERIC SIMON PAYNE	DEF 104
DEVIL-SLAYER/ERIC SIMON PAYNE	DEF 110
DEVIL-SLAYER/ERIC SIMON PAYNE	COC 1
DEVIL-SLAYER/ERIC SIMON PAYNE	COC 3
DEVIL-SLAYER/ERIC SIMON PAYNE	M/CP 37/3
DEVIL-SLAYER/ERIC SIMON PAYNE	M/CP 46/2
DEVIL-SLAYER/ERIC SIMON PAYNE	M/CP 47/2
DEVIL-SLAYER/ERIC SIMON PAYNE	M/CP 48/2
DEVIL-SLAYER/ERIC SIMON PAYNE	M/CP 49/2
DEVIL-SLAYER/ERIC SIMON PAYNE	OE 2
DEVIL-SLAYER/ERIC SIMON PAYNE	M-T3 3
DEVIL-SLAYER/ERIC SIMON PAYNE	M-T3 5
DEVIL-SLAYER/ERIC SIMON PAYNE	ST5 2
DEVILLE, ARCADIA	XFOR 83
DEVILLE, ARCADIA	XFOR 84
DEVILLE, ARCADIA	XFOR 97
DEVILLE, ARCADIA	XFOR 99
DEVILLE, ARCADIA	XFOR 100
DEVILLE, JENNIFER CRUELLA	ASM '96/2
DEVINE, ANTON	TB '00
DEVLOR	FF 391
DEVLOR	FF 392
DEVLOR	FFOR 1
DEVLOR	FFOR 2
DEVLOR	FFOR 3
DEVLOR	FFOR 4
DEVLOR	A 383
DEVLOR	FFOR 5
DEVLOR	FFOR 6
DEVLOR	FFOR 7
DEVLOR	FF 400
DEVLOR	FFOR 8
DEVLOR	FFOR 9
DEVLOR	AR 2
DEVLOR	FFOR 10
DEVLOR	FFOR 10/2
DEVLOR	FFOR 11
DEVLOR	FFOR 12
DEVLOR	FFOR 13
